schemaVersion,recordType,name,slug,website,yc_url,description,batch,location,status,yc_tag,source_name,source_url
1.0,STARTUP,Directed Edge,directed-edge,http://directededge.com,https://www.ycombinator.com/companies/directed-edge,Product recommendations.,Summer 2009,,Active,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,JustSpotted,justspotted,http://justspotted.com,https://www.ycombinator.com/companies/justspotted,Acquired by Google in 2011,Summer 2008,,Acquired,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,Canopy Labs,canopy-labs,http://canopylabs.com,https://www.ycombinator.com/companies/canopy-labs,Canopy Labs automates customer analytics for small and medium-sized…,Summer 2012,,Inactive,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,Semantics3,semantics3,http://www.semantics3.com,https://www.ycombinator.com/companies/semantics3,Data and AI platform for Ecommerce & Cross-Border Logistics,Winter 2013,,Acquired,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,Casetext,casetext,http://casetext.com,https://www.ycombinator.com/companies/casetext,We make the world's laws free and understandable. ,Summer 2013,,Acquired,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,CareMessage,caremessage,http://caremessage.org,https://www.ycombinator.com/companies/caremessage,Patient engagement for low-income populations,Winter 2014,,Active,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,OpenCurriculum,opencurriculum,https://opencurriculum.org,https://www.ycombinator.com/companies/opencurriculum,Helping K-12 teachers and school administrators build awesome…,Winter 2014,,Active,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,Checkr,checkr,http://www.checkr.com,https://www.ycombinator.com/companies/checkr,People infrastructure for the future of work,Summer 2014,,Active,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,SalesSift,salessift,https://salessift.com,https://www.ycombinator.com/companies/salessift,Intelligent Lead Sourcing,Summer 2014,,Inactive,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,Weave,weave-2,http://weave.in,https://www.ycombinator.com/companies/weave-2,AI-assisted professional networking.,Summer 2014,,Inactive,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,Qventus,qventus,http://qventus.com,https://www.ycombinator.com/companies/qventus,We automate operations for hospitals and health systems,Winter 2015,,Active,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,20n,20n,http://20n.com,https://www.ycombinator.com/companies/20n,Using AI to predict biochemistry for manufacturing and therapeutics,Winter 2015,,Inactive,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,Akido Labs,akido-labs,http://akidolabs.com,https://www.ycombinator.com/companies/akido-labs,Rebuilding healthcare with AI at the core,Winter 2015,,Active,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,Zeitview,zeitview,https://www.zeitview.com/,https://www.ycombinator.com/companies/zeitview,Inspection software for renewable energy & sustainable infrastructure,Winter 2015,,Active,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,Yhat,yhat,https://www.yhat.com,https://www.ycombinator.com/companies/yhat,End-to-end data science lifecycle management platform. ,Winter 2015,,Acquired,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,Dabble,dabble,https://dabble.so,https://www.ycombinator.com/companies/dabble,A synthetic photo studio for e-commerce,Winter 2015,,Inactive,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
1.0,STARTUP,Tara AI,tara-ai,http://www.tara.ai,https://www.ycombinator.com/companies/tara-ai,"Meet Tara AI, your new engineering efficiency co-pilot.",Winter 2015,,Active,Artificial Intelligence,Y Combinator,https://yc-oss.github.io/api/tags/artificial-intelligence.json
